timestamp,energy_consumption,city,building_id,floor,power_factor,voltage,current,power_consumption,energy_cost,energy_source,energy_provider,energy_usage_category,energy_savings
02/02/2024,221,Kolkata,1,8,0.15,233.4,9.5,966.58,151.25,nuclear,Babbleopia,residential,40.8
03/11/2024,74.7,Delhi,2,3,0.38,135.2,5.9,285.59,52.42,wind mill,Oloo,industrial,35.6
12/07/2023,887.23,Mumbai,3,6,0.48,236.1,6.49,115.27,560.53,natural gas,Snaptags,residential,66.3
15/07/2023,880.16,Kolkata,4,9,0.83,108.4,7.31,736.23,845.74,solar panels,Wordpedia,transportation,95
08/10/2023,836.7,Chennai,5,6,0.04,108.5,4.55,952.45,42.02,natural gas,Kare,commercial,68.3
31/05/2024,886.34,Chennai,6,7,0.49,116.7,2.17,624.87,696.36,solar panels,Mita,industrial,26.6
01/11/2024,793.57,Mumbai,7,5,0.43,207.1,4.42,314.92,301.46,solar panels,Feedfish,transportation,55.3
27/07/2024,685.71,Chennai,8,1,0,183.2,3.59,901.27,214.49,solar panels,Twiyo,residential,87.5
13/12/2024,652.64,Mumbai,9,3,0.72,124.2,9.19,531.52,769.36,natural gas,Flashspan,transportation,82.3
13/11/2023,793.9,Delhi,10,4,0.89,206.4,4.53,120.05,568.15,solar panels,InnoZ,transportation,99.3
04/09/2023,201.01,Chennai,11,7,0.76,148.2,2.59,120.33,927.51,solar panels,Twimbo,industrial,86.9
24/01/2024,450.72,Kolkata,12,2,0.07,150.1,9.9,907.55,513.76,nuclear,Pixope,industrial,83.5
26/02/2025,918.66,Chennai,13,7,0.8,183,5.31,578.85,106.47,nuclear,Voomm,governmental,58.9
04/04/2024,860.61,Delhi,14,4,0.91,170.7,8.7,333.73,235.36,biomass,Voonte,residential,57
19/12/2023,856.53,Chennai,15,8,0.47,171.1,2.48,67.17,830.53,wind mill,Voonix,commercial,92.8
19/02/2025,389.81,Delhi,16,10,0.84,109.2,2.28,299.85,436.45,solar panels,Eazzy,residential,4.5
22/02/2023,322.06,Chennai,17,10,0.76,119.5,5.79,940.93,61.85,solar panels,Vitz,residential,4.2
02/02/2024,357.52,Kolkata,18,2,0.83,227.2,3.2,984.65,264.06,wind mill,Ainyx,industrial,32.2
09/11/2023,23.07,Kolkata,19,9,0.6,102.8,3.9,231.11,898.8,nuclear,Browsedrive,transportation,20.9
08/08/2023,41,Chennai,20,4,0.58,237.8,3.48,656.2,813.08,biomass,Quinu,residential,44.2
12/12/2022,26.49,Bangalore,21,1,0.94,227.3,7.23,931.28,942.24,nuclear,Twitternation,industrial,96.3
04/12/2024,268.04,Bangalore,22,2,0.52,229,3.36,560.33,924.56,wind mill,Twitterbeat,governmental,86.8
04/12/2022,825.26,Delhi,23,2,0.98,229.4,3.28,748.55,716.73,wind mill,Einti,commercial,96
23/12/2022,139.75,Chennai,24,9,0.34,135.8,3.87,412.61,602.55,natural gas,Skinte,residential,66
19/10/2024,233.26,Kolkata,25,4,0.09,106.4,3.57,57.34,93.59,nuclear,Voonte,transportation,88.1
03/11/2024,540.02,Kolkata,26,3,0.67,195.4,4.99,213.3,691.05,natural gas,Brainverse,transportation,68.8
27/03/2025,957.1,Bangalore,27,6,0.4,149.6,7.02,289.16,391.92,nuclear,Flipbug,commercial,32.1
07/02/2024,982.98,Kolkata,28,8,0.05,165.3,4.97,839.94,205.06,solar panels,Edgepulse,residential,99.8
26/06/2023,186.33,Mumbai,29,9,0.15,130,0.14,528.63,287.01,natural gas,Katz,residential,81.2
10/03/2023,560.36,Mumbai,30,5,0.13,239.1,7.36,155.2,511.26,solar panels,Yombu,governmental,95.9
06/10/2024,286.64,Kolkata,31,2,1,182.4,6.57,624.61,351.92,natural gas,Quire,transportation,93.9
28/02/2025,673.49,Chennai,32,1,0.28,197,7.26,42.25,199.86,nuclear,Wikido,industrial,84.7
04/03/2023,223.51,Delhi,33,5,0.71,175,8.69,975.92,580.64,wind mill,Kazu,industrial,5.6
29/10/2023,52.78,Delhi,34,5,0.98,187.4,8.84,544.48,148.17,wind mill,Edgewire,transportation,7.6
02/02/2025,787.82,Delhi,35,1,0.83,199.2,6.1,880.64,266.39,biomass,Dazzlesphere,transportation,86.5
17/03/2024,319.05,Delhi,36,4,0.85,128.9,9.89,823.1,985.32,solar panels,Feedbug,commercial,95
11/05/2023,674.43,Kolkata,37,2,0.13,185.4,6.56,426.86,273.5,nuclear,Gabvine,residential,99.6
29/03/2024,476.19,Kolkata,38,5,0.54,116.9,4.38,632.16,559.64,nuclear,Voonix,transportation,37.7
04/02/2024,273.85,Mumbai,39,10,0.56,157.6,9.76,973.12,344.13,wind mill,Brainverse,industrial,68.8
24/05/2024,553.92,Kolkata,40,9,0.05,144.9,1.57,72.78,395.1,biomass,Kwinu,governmental,22.2
23/08/2023,359.01,Delhi,41,1,0.91,142.6,1.84,912.95,607.47,solar panels,Quinu,industrial,48.3
18/01/2025,980.92,Chennai,42,7,0.22,176.3,0.31,930.55,507.07,nuclear,Voonyx,commercial,32.5
01/07/2024,413.05,Chennai,43,8,0.25,144.2,6.92,58.53,828.81,nuclear,Jaxnation,residential,10.9
03/06/2023,363.07,Kolkata,44,3,0.17,191.1,2.73,570.57,438.32,natural gas,Aivee,industrial,26.8
17/10/2023,210.68,Delhi,45,10,0.73,234.4,8.69,318.39,31.38,natural gas,Jaxworks,commercial,95.9
